"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/2/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Ambiente/0/A la moda","additionalInfo/Ambiente/1/Agradable","additionalInfo/Ambiente/2/Informal","additionalInfo/Ambiente/3/Relajado","additionalInfo/Aspectos destacados/0/Buen café","additionalInfo/Aspectos destacados/0/Buenos productos frescos","additionalInfo/Aspectos destacados/0/Chimenea","additionalInfo/Aspectos destacados/0/Muy buena selección de cervezas","additionalInfo/Aspectos destacados/1/Deliciosos postres","additionalInfo/Estacionamiento/0/Estacionamiento gratuito en la calle","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Menores/0/Ideal para ir con niños","additionalInfo/Opciones de servicio/0/Citas en línea","additionalInfo/Opciones de servicio/0/Compras en tienda","additionalInfo/Opciones de servicio/0/Consumo en el lugar","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Entrega sin contacto","additionalInfo/Opciones de servicio/0/Retiros en la puerta","additionalInfo/Opciones de servicio/0/Servicios en el lugar","additionalInfo/Opciones de servicio/1/Citas en línea","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/1/Servicios en el lugar","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Para llevar","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/2/Servicios en el lugar","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Consumo en el lugar","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Servicios en el lugar","additionalInfo/Opciones de servicio/5/Entrega el mismo día","additionalInfo/Opciones de servicio/6/Citas en línea","additionalInfo/Opciones del local/0/Almuerzo","additionalInfo/Opciones del local/0/Postres","additionalInfo/Opciones del local/1/Cena","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Solo dinero en efectivo","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/0/Tarjetas de débito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Solo dinero en efectivo","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Pagos/4/Tarjetas de crédito","additionalInfo/Planificación/0/Se aceptan reservas","additionalInfo/Planificación/0/Se recomienda concertar cita","additionalInfo/Planificación/0/Se requiere una cita","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Planificación/1/Visita rápida","additionalInfo/Popular por/0/Almuerzo","additionalInfo/Popular por/1/Cena","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/0/Recomendable para ir en familia","additionalInfo/Qué ofrece/0/Alcohol","additionalInfo/Qué ofrece/0/Bocadillos","additionalInfo/Qué ofrece/0/Productos orgánicos","additionalInfo/Qué ofrece/0/Servicio de armado","additionalInfo/Qué ofrece/1/Café","additionalInfo/Qué ofrece/1/Cerveza","additionalInfo/Qué ofrece/1/Servicios de reparación","additionalInfo/Qué ofrece/2/Comida","additionalInfo/Qué ofrece/2/Platos vegetarianos","additionalInfo/Qué ofrece/3/Vino","additionalInfo/Servicios/0/Sanitario","additionalInfo/Servicios/0/Sanitarios unisex","additionalInfo/Servicios/0/Wi-Fi","additionalInfo/Servicios/1/Taller mecánico","additionalInfo/Servicios/1/Tiene Wi-Fi gratis","additionalInfo/Servicios/1/Wi-Fi","additionalInfo/Servicios/2/Tiene Wi-Fi gratis","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url","website"
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manuel Leal 1783, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de electrónica",,,,,,,"Tienda de electrónica","17074438601891634319","Olavarría","true","AR","0x959444305c3ef773:0xecf49771b4f7dc8f",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5VtJxPfobVkrc2RM4b-mIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.81482&pitch=0&thumbfov=100","1","false","/g/11y74_7kky","es-419","-36.9114393","-60.3177931",,,,,,,,,,,,,,,,"false",,,"ChIJc_c-XDBElJURj9z3tHGX9Ow",,,"12","1",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Manuel Leal 1783","false","Mws Audio","5","https://www.google.com/maps/search/?api=1&query=Mws%20Audio&query_place_id=ChIJc_c-XDBElJURj9z3tHGX9Ow",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Lorenzo 970, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Taller mecánico",,,,,,,"Taller mecánico","1921076564674465271","Olavarría","false","AR","0x959445a644d99f5b:0x1aa908f50fbfcdf7",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jqRpjcvfy5yyIi4aqbjOag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=245.85168&pitch=0&thumbfov=100","4","false","/g/11bbrjmgky","es-419","-36.899302","-60.3463019",,"miércoles","9 AM to 12 PM, 3:30 to 8 PM","jueves","9 AM to 12 PM, 3:30 to 8 PM","viernes","9 AM to 12 PM, 3:30 to 8 PM","sábado","Cerrado","domingo","Cerrado","lunes","9 AM to 12 PM, 3:30 to 8 PM","martes","9 AM to 12 PM, 3:30 to 8 PM","false","+54 9 2284 58-8969","+5492284588969","ChIJW5_ZRKZFlJUR982_D_UIqRo","B7400",,"13","24",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","San Lorenzo 970","false","Taller Alberto","4.9","https://www.google.com/maps/search/?api=1&query=Taller%20Alberto&query_place_id=ChIJW5_ZRKZFlJUR982_D_UIqRo",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. del Valle 2828, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de electricidad","Tienda de iluminación",,,,,,"Tienda de electricidad","2409745979019675330","Olavarría","true","AR","0x959445b7d3909ad1:0x217123335664c6c2",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhG4VwHRyxmQglt2v9cJBo4MxT-GRoeBCKSoLv1-E2ETxQhDyQUWR5jsac-m8I0wL5Y6dSQR5hACR95FWIkJGb88VwYAuVxuIvFYzQ1COec7Si3JnRs5T6iL7nj7iHwSTan7UdFUC7dGepIWP9brhe0NUDGWKq0SG9k-1kNOFGrENe_0lDOfZJq3r7BOKR94HdnrQA=w408-h306-k-no","2","false","/g/11btx0glfv","es-419","-36.8981409","-60.3273278",,"miércoles","8:30 AM to 5 PM","jueves","8:30 AM to 5 PM","viernes","8:30 AM to 5 PM","sábado","9 AM to 1 PM","domingo","Cerrado","lunes","8:30 AM to 5 PM","martes","8:30 AM to 5 PM","false",,,"ChIJ0ZqQ07dFlJURwsZkVjMjcSE","B7400",,"14","0",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Av. del Valle 2828","false","Electró Nico",,"https://www.google.com/maps/search/?api=1&query=Electr%C3%B3%20Nico&query_place_id=ChIJ0ZqQ07dFlJURwsZkVjMjcSE",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bolívar 2937, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de electrónica",,,,,,,"Tienda de electrónica","8917771731995182965","Olavarría","true","AR","0x9594457db4c7d363:0x7bc24a245197c775",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyZsb_qJsvInJXBd6nRqNRzgQzN9Ke5A18duztHBUWDWZjVVN3ihY4HTvplYmVomfHYTD84Lq0e-2AxbCUAbkjB_sP3Cp1PIGrKriwn05cFgq8N41l8plL2FUORf1PWk3p0LQD=w408-h306-k-no","7","false","/g/11vl1x6nn3","es-419","-36.8973606","-60.3242582",,"miércoles","9 AM to 7:30 PM","jueves","9 AM to 7:30 PM","viernes","9 AM to 7:30 PM","sábado","Cerrado","domingo","Cerrado","lunes","9 AM to 7:30 PM","martes","9 AM to 7:30 PM","false","+54 2284 32-0126","+542284320126","ChIJY9PHtH1FlJURdceXUSRKwns","B7400",,"15","1",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Bolívar 2937","false","Microondas Olavarría","5","https://www.google.com/maps/search/?api=1&query=Microondas%20Olavarr%C3%ADa&query_place_id=ChIJY9PHtH1FlJURdceXUSRKwns",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Pellegrini 2027, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de electricidad","Tienda de electrodomésticos",,,,,,"Tienda de electricidad","5134861419576384494","Olavarría","false","AR","0x9594442f91e2874f:0x4742b14164b55bee",,"https://lh3.googleusercontent.com/p/AF1QipNCfWkG9b-rcLbCPqBkaRkZZu23SyzYafOZesTa=w426-h240-k-no","5","false","/g/11h3mv_3jn","es-419","-36.911139","-60.3140411",,"miércoles","8:30 AM to 12 PM, 3:30 to 7 PM","jueves","8:30 AM to 12 PM, 3:30 to 7 PM","viernes","8:30 AM to 12 PM, 3:30 to 7 PM","sábado","8:30 AM to 12 PM","domingo","Cerrado","lunes","8:30 AM to 12 PM, 3:30 to 7 PM","martes","8:30 AM to 12 PM, 3:30 to 7 PM","false",,,"ChIJT4fikS9ElJUR7lu1ZEGxQkc","B7400",,"16","5",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Av. Pellegrini 2027","false","Electró Nico","5","https://www.google.com/maps/search/?api=1&query=Electr%C3%B3%20Nico&query_place_id=ChIJT4fikS9ElJUR7lu1ZEGxQkc",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,"true",,,,,"true","true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Micro Centro, Necochea 3228, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de informática",,,,,,,"Tienda de informática","17622058541211567704","Olavarría","true","AR","0x959445cfc8a5cce7:0xf48e20e0a80dc658",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhGf6XPeGoZekrpxzggd9L1BCH1IxdiRUUngNXUG2712Y9MrN_WvtUsVSFA7CgtrBi88Ec3pU41_jJya097I-eNjSUpefqpHO7ReKHrAQG8IpoWth_iVDcqNb38i21bqTkBIkxvBaQuZHwZYqJt1_vuQ1K37KYEDM4APy_B5JI8AMRSNLZ-8xTthZihB5NREqEVAZUM=w408-h306-k-no","5","false","/g/11btwtdsjg","es-419","-36.8947458","-60.3164811",,"miércoles","9 AM to 4:30 PM","jueves","9 AM to 4:30 PM","viernes","9 AM to 4:30 PM","sábado","Cerrado","domingo","Cerrado","lunes","9 AM to 4:30 PM","martes","9 AM to 4:30 PM","false","+54 2284 59-8795","+542284598795","ChIJ58ylyM9FlJURWMYNqOAgjvQ","B7400",,"17","16",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Micro Centro, Necochea 3228","false","VCP Informatica","4.7","https://www.google.com/maps/search/?api=1&query=VCP%20Informatica&query_place_id=ChIJ58ylyM9FlJURWMYNqOAgjvQ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hipólito Yrigoyen 1849, B7400 Olavarría, Provincia de Buenos Aires, Argentina",,,,,,,,,"2083624142390642820","Olavarría","false","AR","0x959445ebaf453ead:0x1cea851e349f4884",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wEbWGlU5BBVZhnOmX5XelA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=56.62276&pitch=0&thumbfov=100","1","false","/g/1q62d29fp","es-419","-36.881871","-60.3233644",,"miércoles","8 AM to 6 PM","jueves","8 AM to 6 PM","viernes","8 AM to 6 PM","sábado","Cerrado","domingo","Cerrado","lunes","8 AM to 6 PM","martes","8 AM to 6 PM","false","+54 2284 44-2526","+542284442526","ChIJrT5Fr-tFlJURhEifNB6F6hw","B7400",,"18","9",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Hipólito Yrigoyen 1849","false","SIM de Mangano SA","4","https://www.google.com/maps/search/?api=1&query=SIM%20de%20Mangano%20SA&query_place_id=ChIJrT5Fr-tFlJURhEifNB6F6hw",
"false",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9 de Julio 2657, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Servicio de reparación de televisores","Establecimiento de reparación de artículos electrónicos",,,,,,"Servicio de reparación de televisores","4745798787664108433","Olavarría","true","AR","0x959445ce97f5873d:0x41dc76da6232db91",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhG8d1Fu27AxLW6bA1wzPUZPacLciSJ2Lr9p7rpFo7Z31ssTEbZyIlLrc2rYUrHVZrfapuHsLHcCy_rUGl5YUfpHQPoNZj87H-K2u4oVOqanZpSijEkc6Af-jBEspoHFanB9FtHuWtQtinP9UdpKVKbkqe7rxdXETit9NEovF--Hwc47NDVD_kkTxsSZFvzsEauq-q8=w408-h306-k-no","5","false","/g/11b7y9l_5m","es-419","-36.8980155","-60.3196324",,,,,,,,,,,,,,,,"false","+54 2284 42-6484","+542284426484","ChIJPYf1l85FlJURkdsyYtp23EE","B7400",,"19","45",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","9 de Julio 2657","false","Radio Orlando","3.2","https://www.google.com/maps/search/?api=1&query=Radio%20Orlando&query_place_id=ChIJPYf1l85FlJURkdsyYtp23EE",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,"Av. del Valle 2616, B7400JUQ Olavarría, Provincia de Buenos Aires, Argentina","Tienda de informática",,,,,,,"Tienda de informática","9247719593775246683","Olavarría","false","AR","0x959445746b9661e7:0x80567ff95964ad5b",,"https://lh3.googleusercontent.com/p/AF1QipMRwv7-N57C4azLcyhICA-hoYz9d6hWJfITc8vF=w426-h240-k-no","2","false","/g/11r5mw8j70","es-419","-36.8967414","-60.3291468",,,,,,,,,,,,,,,,"false","+54 2284 55-1591","+542284551591","ChIJ52GWa3RFlJURW61kWfl_VoA","B7400",,"20","0",,,,,,"2025-05-29T00:56:14.959Z","https://www.google.com/maps/search/electronica/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","electronica","Provincia de Buenos Aires","Av. del Valle 2616","false","LIBRPCBOX_SERVICIO_OFICIAL_LIBROVISION-AIPC_Computadoras",,"https://www.google.com/maps/search/?api=1&query=LIBRPCBOX_SERVICIO_OFICIAL_LIBROVISION-AIPC_Computadoras&query_place_id=ChIJ52GWa3RFlJURW61kWfl_VoA","http://www.facebook.com/librovision"
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Ituzaingó 2160, B7400BFY Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,,,,"Tienda de alimentación","13979550667527850099","Olavarría","true","AR","0x959445bd3816299d:0xc2015743e9928873",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vIcnbuzk3ykhzMn62lbvwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=133.63295&pitch=0&thumbfov=100","2","false","/g/11b7y9lv2m","es-419","-36.890201","-60.337712",,"miércoles","8 AM to 10 PM","jueves","8 AM to 10 PM","viernes","8 AM to 10 PM","sábado","8 AM to 10 PM","domingo","4:30 to 9 PM","lunes","8 AM to 10 PM","martes","8 AM to 10 PM","false",,,"ChIJnSkWOL1FlJURc4iS6UNXAcI","B7400",,"2","6",,,,,,"2025-05-29T00:56:15.328Z","https://www.google.com/maps/search/tienda/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","tienda","Provincia de Buenos Aires","Av. Ituzaingó 2160","false","Kiosko Coquito","4.3","https://www.google.com/maps/search/?api=1&query=Kiosko%20Coquito&query_place_id=ChIJnSkWOL1FlJURc4iS6UNXAcI",
,,,,,,,,,"true",,,,,,,,,,,,"true",,,,,"true",,,,,,,"true",,"true",,,"true",,,,,,,,"true",,,,,"true",,,"true",,,"true","true",,,,"true",,,,"true",,,,"true",,,,,,,,,,,,,,,"Av. Ituzaingó 1801, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación","Frutería",,,,,,"Tienda de alimentación","14543802124314272042","Olavarría","false","AR","0x959445a2fd7e0e55:0xc9d5f6f9c752e12a",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noksLB4yp5T2umjQKg4zzHWTRAxeTBsinn-EYvxQkHjjgrUk6BYCJvWL2h6p1LMnoPyNODfH2cVY5SiXj-f3GvcnRml3hzSzwq5UGuwrsuotnXtBD30qLKKkIQsytisiCIzbjuw=w408-h544-k-no","23","false","/g/11b7xm6y_1","es-419","-36.8922541","-60.340864",,"miércoles","9 AM to 1 PM, 5 to 8:30 PM","jueves","9 AM to 1 PM, 5 to 8:30 PM","viernes","9 AM to 1 PM, 5 to 8:30 PM","sábado","9 AM to 1 PM, 5 to 8:30 PM","domingo","9:30 AM to 1 PM, 6 to 8:30 PM","lunes","9 AM to 1 PM, 5 to 8:30 PM","martes","9:30 AM to 1 PM, 5 to 8:30 PM","false","+54 2284 63-1685","+542284631685","ChIJVQ5-_aJFlJURKuFSx_n21ck","B7400",,"3","1",,,,,,"2025-05-29T00:56:15.328Z","https://www.google.com/maps/search/tienda/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","tienda","Provincia de Buenos Aires","Av. Ituzaingó 1801","false","Mercadito Los Eduardos","5","https://www.google.com/maps/search/?api=1&query=Mercadito%20Los%20Eduardos&query_place_id=ChIJVQ5-_aJFlJURKuFSx_n21ck","https://www.facebook.com/mercaditolos.eduardos"
,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,"true","true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Alberdi, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Supermercado","Panadería","Quesería","Tienda de alimentación","Tienda de productos lácteos","Tienda de jamones","Tienda de vinos","Supermercado","2234625834565921476","Olavarría","true","AR","0x95944591b62dced3:0x1f02fc5b63366ac4",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhHpRqiI3MoHu39l-Sjk82tGbt0e3pGk9eObCoRwhZYs0UKINjvPb_5CnThy7nRm0dYnSBAtfCZukdb5_y2Y7AfB3BbVx85jn7xzEsRVCrTCwkR5eU9D-GPjLXVAcPfsPIZAsP8CNuc0BXvYVEEHIgDbuP6OsaFJQ8JqGamI87QiPJxCA1-nCS75z3Qbw7LXS1prgMc=w408-h306-k-no","2","false","/g/11btww1jls","es-419","-36.8796149","-60.335099",,"miércoles","Abierto las 24 horas","jueves","Abierto las 24 horas","viernes","Abierto las 24 horas","sábado","Abierto las 24 horas","domingo","Abierto las 24 horas","lunes","Abierto las 24 horas","martes","Abierto las 24 horas","false","+54 2284 57-5415","+542284575415","ChIJ084ttpFFlJURxGo2Y1v8Ah8","B7400",,"4","2",,,,,,"2025-05-29T00:56:15.328Z","https://www.google.com/maps/search/tienda/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","tienda","Provincia de Buenos Aires","Av. Alberdi","false","Katrina","5","https://www.google.com/maps/search/?api=1&query=Katrina&query_place_id=ChIJ084ttpFFlJURxGo2Y1v8Ah8",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Alberdi, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación","Quesería","Tienda de jamones",,,,,"Tienda de alimentación","6355951400488564053","Olavarría","true","AR","0x95944591fb30fd17:0x5834e01f9bc47555",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhFImM__-p-GJwnDSkVhSU3mhyPkrwAhMkdEuFYq9210magBIuN-YMpTCaopqeXM4qG7Yjn_v5xcZsIzk_DhPFVYTQcqbRMSDph6CK5oIQAf3iW0Mo3ZFx6UDYABQie_9waY0s9YqMP03vNFKlGLa_w2v3ZnlArQRNyP-9HeB2JvJuew7hviGvWyQn7ms-ksM2Kwh6U=w408-h306-k-no","3","false","/g/11btwtgch4","es-419","-36.8783122","-60.333403",,,,,,,,,,,,,,,,"false","+54 2284 68-9321","+542284689321","ChIJF_0w-5FFlJURVXXEmx_gNFg","B7400",,"5","1",,,,,,"2025-05-29T00:56:15.328Z","https://www.google.com/maps/search/tienda/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","tienda","Provincia de Buenos Aires","Av. Alberdi","false","Mercadito Adrian","5","https://www.google.com/maps/search/?api=1&query=Mercadito%20Adrian&query_place_id=ChIJF_0w-5FFlJURVXXEmx_gNFg",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,"true","true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"9 de Julio, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación","Tienda de golosinas",,,,,,"Tienda de alimentación","9030039114372425767","Olavarría","true","AR","0x9594444b5fbfb2b7:0x7d5124bb380d2827",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XLYhdPwop623Tn_JJCQ6Uw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.87698&pitch=0&thumbfov=100","1","false","/g/11b7y9mz0f","es-419","-36.9082842","-60.3326015",,,,,,,,,,,,,,,,"false",,,"ChIJt7K_X0tElJURJygNOLskUX0","B7400",,"6","3",,,,,,"2025-05-29T00:56:15.328Z","https://www.google.com/maps/search/tienda/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","tienda","Provincia de Buenos Aires","9 de Julio","false","Polirrubro Ramiro","4.3","https://www.google.com/maps/search/?api=1&query=Polirrubro%20Ramiro&query_place_id=ChIJt7K_X0tElJURJygNOLskUX0",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,"true","true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Colón, B7400 Gran Buenos Aires, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,,,,"Tienda de alimentación","15361368515915843769","Gran Buenos Aires","true","AR","0x959445c3db839b75:0xd52e8b46f70888b9",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhGrTk2BYcozS4BX2nLAzRtPtV54rN-EQ2cFRqSoxF_fuiP-eqfnPvcR5VTk8NzGX_iq1iy3NbaxhmqKNeDWMS1jd5Gob1-0UUsK3WH1mdZj7KMOvY5P_umUnyVGx34YUMkZrrfEhsV7Mo3ZJ0KwTeUPLEIzryoc-DEj8cEuFQW09tUNTiL1jEmX9MVU41anEKl2cV8=w408-h306-k-no","4","false","/g/11btwtgz70","es-419","-36.8875141","-60.3206474",,,,,,,,,,,,,,,,"false","+54 9 2284 60-9993","+5492284609993","ChIJdZuD28NFlJURuYgI90aLLtU","B7400",,"7","1",,,,,,"2025-05-29T00:56:15.328Z","https://www.google.com/maps/search/tienda/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","tienda","Provincia de Buenos Aires","Av. Colón","false","Egno Shop","5","https://www.google.com/maps/search/?api=1&query=Egno%20Shop&query_place_id=ChIJdZuD28NFlJURuYgI90aLLtU","http://www.facebook.com/egnoshop"
