"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Aspectos destacados/0/Buenos productos frescos","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Entrega sin contacto","additionalInfo/Opciones de servicio/0/Retiro en tienda","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Entrega el mismo día","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/0/Tarjetas de débito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/1/Espacio seguro para personas transgénero","additionalInfo/Qué ofrece/0/Combustible diésel","additionalInfo/Qué ofrece/0/Comida","additionalInfo/Qué ofrece/0/Comida preparada","additionalInfo/Qué ofrece/1/Gasolinera con servicio completo","additionalInfo/Qué ofrece/2/Intercambio de tanques de propano","additionalInfo/Qué ofrece/3/Lavadero de autos","additionalInfo/Servicios/0/Minimercado","additionalInfo/Servicios/1/Sanitario","address","categories/0","categories/1","categories/2","categories/3","categoryName","cid","city","claimThisBusiness","countryCode","description","domain","emails/0","emails/1","facebooks/0","fid","googleFoodUrl","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","placeId","postalCode","price","rank","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","twitters/0","url","website","youtubes/0"
,,,,"true",,"true",,,,,,"true",,,,,,,,,"true",,,,"true",,,"true","true",,"true",,,,,,,,,,,"B7203 Rauch, Provincia de Buenos Aires, Argentina","Supermercado",,,,"Supermercado","4246000455452361665","Rauch","true","AR",,,,,,"0x9597276c8c3b5471:0x3aecd2eaff6283c1",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8qOAmKRoYG_Po3TjyvWCTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.60553&pitch=0&thumbfov=100","1",,,"false","/g/11ggs3bkbm","es-419",,"-36.7782408","-59.0836502",,"domingo","7 AM to 11 PM","lunes","7 AM to 11 PM","martes","7 AM to 11 PM","miércoles","7 AM to 11 PM","jueves","7 AM to 11 PM","viernes","7 AM to 11 PM","sábado","7 AM to 11 PM","false","+54 249 464-1605","+542494641605",,,,,,,,"ChIJcVQ7jGwnl5URwYNi_-rS7Do",,,"20",,"71",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires",,"false","One Market 24 horas","4.4",,"https://www.google.com/maps/search/?api=1&query=One%20Market%2024%20horas&query_place_id=ChIJcVQ7jGwnl5URwYNi_-rS7Do",,
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. San Martín 346, B7203 BPQ, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","6008641843335771293","BPQ","true","AR",,,,,,"0x9597276861b9740f:0x5362fbebde93b49d",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JmYRWtgfpTdt7ueov35plA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=122.32245&pitch=0&thumbfov=100","1",,,"false","/g/11bbr9j1rf","es-419",,"-36.7770646","-59.0914036",,,,,,,,,,,,,,,,"false","+54 2297 44-2526","+542297442526",,,,,,,,"ChIJD3S5YWgnl5URnbST3uv7YlM","B7203",,"19",,"7",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. San Martín 346","false","Giatti - Fabrica de Pastas","4.7",,"https://www.google.com/maps/search/?api=1&query=Giatti%20-%20Fabrica%20de%20Pastas&query_place_id=ChIJD3S5YWgnl5URnbST3uv7YlM",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. San Martín 360, B7203 BPQ, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","12787777557813887426","BPQ","true","AR",,,,,,"0x9597276860f5da2b:0xb1774fefb03581c2",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQYAnU5mk2u0e8x3jFo5N-eDfnh8oRGgbkMM82azqCm6cIThohkGZi_eSD_gBRgCDbBdCqeaTj5sng90P2yedbn38gtvyk-SqIhRghw6R5A8nudIYGnvSHFqZ6qdeHDcq5hmc-Iw=w408-h306-k-no","4",,,"false","/g/11bbrp6cq5","es-419",,"-36.776961","-59.0912775",,,,,,,,,,,,,,,,"false","+54 2297 44-2470","+542297442470",,,,,,,,"ChIJK9r1YGgnl5URwoE1sO9Pd7E","B7203",,"18",,"4",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. San Martín 360","false","Amar Asociacion Mutual Jub Y Pens","5",,"https://www.google.com/maps/search/?api=1&query=Amar%20Asociacion%20Mutual%20Jub%20Y%20Pens&query_place_id=ChIJK9r1YGgnl5URwoE1sO9Pd7E",,
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Av. San Martín 331, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda general",,,,"Tienda general","10414569716740929937","Rauch","true","AR",,,,,,"0x95972739e316f7ff:0x9087fbfa86e23991",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ip5G3RAKdRyiNhja5uYUzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.44275&pitch=0&thumbfov=100","1",,,"false","/g/11r4dxqh4y","es-419",,"-36.7773857","-59.0921592",,"domingo","Abierto las 24 horas","lunes","Abierto las 24 horas","martes","Abierto las 24 horas","miércoles","Abierto las 24 horas","jueves","Abierto las 24 horas","viernes","Abierto las 24 horas","sábado","Abierto las 24 horas","false",,,,,,,,,,"ChIJ__cW4zknl5URkTnihvr7h5A","B7203",,"17",,"6",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. San Martín 331","false","Open 24","4.5",,"https://www.google.com/maps/search/?api=1&query=Open%2024&query_place_id=ChIJ__cW4zknl5URkTnihvr7h5A",,
,"false",,,"true",,"true",,,,,,"true",,,,,,,,,"true",,,,"true",,,"true","true",,"true",,,,,,,,,,,"Av. Yrigoyen 376, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,"Tienda de alimentación","4654753519795406308","Rauch","true","AR",,,,,,"0x9597275de0bd0c5d:0x409901aa106785e4",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_4yXjmdPoH1ci3-6UkNxOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.722263&pitch=0&thumbfov=100","1",,,"false","/g/11bbrrs_j3","es-419",,"-36.7753325","-59.0979019",,,,,,,,,,,,,,,,"false","+54 2297 44-3535","+542297443535",,,,,,,,"ChIJXQy94F0nl5UR5IVnEKoBmUA",,,"16",,"14",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. Yrigoyen 376","false","Minimercado C Y G","4.5",,"https://www.google.com/maps/search/?api=1&query=Minimercado%20C%20Y%20G&query_place_id=ChIJXQy94F0nl5UR5IVnEKoBmUA",,
,,,,,,"true",,,,,,,"true",,"true",,,,,,"true",,,,"true",,,"true","true",,"true",,,,,,,,,,,"Av. San Martín 476, B7203 BPR, Provincia de Buenos Aires, Argentina","Tienda de electrodomésticos",,,,"Tienda de electrodomésticos","6740874730792935020","BPR","false","AR",,,,,,"0x959727684e4f8dab:0x5d8c65da5c51de6c",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nojX7Zmd66A7gFkSotH539PuXXDRvN1r9vlMbD1_ZdGz55JlUgw7eUD-gQoUTgRZK-ck-epdBcRho52aerh93WiNEPm1muKTw20TW6SnOMR2Fvk71kCvGOzEM6BRsaCIc8FHV5paA=w408-h544-k-no","14",,,"false","/g/11bc6z982p","es-419",,"-36.7761898","-59.090301",,"domingo","Cerrado","lunes","8:30 AM to 12:30 PM, 4 to 8 PM","martes","8:30 AM to 12:30 PM, 4 to 8 PM","miércoles","8:30 AM to 12:30 PM, 4 to 8 PM","jueves","8:30 AM to 12:30 PM, 4 to 8 PM","viernes","8:30 AM to 12:30 PM, 4 to 8 PM","sábado","9 AM to 1 PM, 4 to 8 PM","false","+54 11 6091-7532","+541160917532",,,,,,,,"ChIJq41PTmgnl5URbN5RXNpljF0","B7203",,"5",,"87",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Av. San Martín 476","false","Hendel Rauch","4.5",,"https://www.google.com/maps/search/?api=1&query=Hendel%20Rauch&query_place_id=ChIJq41PTmgnl5URbN5RXNpljF0","https://www.hendel.com/",
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Castelli 41, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de bebidas alcohólicas",,,,"Tienda de bebidas alcohólicas","16343271435204805075","Rauch","false","AR",,,,,,"0x959727f13429b2d1:0xe2cef6c7ab2bc1d3",,"https://lh3.googleusercontent.com/p/AF1QipNQ9TBe5JbTP6yg0dHxFce25TMBcmscKU4HJW54=w408-h544-k-no","31",,,"false","/g/11tn_3kb3w","es-419",,"-36.7783329","-59.0922144",,,,,,,,,,,,,,,,"false",,,,,,,,,,"ChIJ0bIpNPEnl5UR08Erq8f2zuI","B7203",,"15",,"14",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Castelli 41","false","Distribuidora Los Teros, venta mayorista y minorista de bebidas","5",,"https://www.google.com/maps/search/?api=1&query=Distribuidora%20Los%20Teros%2C%20venta%20mayorista%20y%20minorista%20de%20bebidas&query_place_id=ChIJ0bIpNPEnl5UR08Erq8f2zuI",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Belgrano 573, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","7141596125079166668","Rauch","true","AR",,,,,,"0x9597276d2e7e8e99:0x631c0bd684a65ecc",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqzTYZRl7tdqVis9uORelLVh3q3BnbDaPA6yOy-2vr4FXYf0aUajKSWyBeYZJ3_b4rmrY9f_E2trC1W9rPyx_J3glskVSMEExTKqGtbZHVF0kN5uEaOVkVwsQsaLRNBCMS0MKgjIg=w408-h306-k-no","3",,,"false","/g/1q62m0mqf","es-419",,"-36.7796401","-59.081616",,,,,,,,,,,,,,,,"false","+54 2297 44-2714","+542297442714",,,,,,,,"ChIJmY5-Lm0nl5URzF6mhNYLHGM",,,"14",,"4",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. Belgrano 573","false","Campos Julian - Contenedores","4.8",,"https://www.google.com/maps/search/?api=1&query=Campos%20Julian%20-%20Contenedores&query_place_id=ChIJmY5-Lm0nl5URzF6mhNYLHGM",,
,,,,,,,,,,,,,,,,,,,,,"true",,,,,"true","true",,,,,,,,,,,,,,,"Aveleyra 338, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","5026186767104771932","Rauch","true","AR",,,,,,"0x9597275d5f03b359:0x45c09a3c1c0c875c",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EdeUvhX6jv9JenJ-B0_z8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.39288&pitch=0&thumbfov=100","1",,,"false","/g/1q62d7w4n","es-419",,"-36.7752517","-59.0938719",,,,,,,,,,,,,,,,"false","+54 2297 44-3275","+542297443275",,,,,,,,"ChIJWbMDX10nl5URXIcMHDyawEU","B7203",,"13",,"3",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Aveleyra 338","false","Daniel Carregado","4.3",,"https://www.google.com/maps/search/?api=1&query=Daniel%20Carregado&query_place_id=ChIJWbMDX10nl5URXIcMHDyawEU",,
,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"7203, Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","2529786459970376562","Rauch","false","AR",,,,,,"0x9597270fd63354c5:0x231b9b61c8209372",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBYvI9SPNhnndc1TtGojoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.227795&pitch=0&thumbfov=100","1",,,"false","/g/11flvzdjl6","es-419",,"-36.7731278","-59.0971487",,"domingo","10 AM to 10 PM","lunes","9 AM to 10 PM","martes","9 AM to 10 PM","miércoles","10 AM to 10 PM","jueves","10 AM to 10 PM","viernes","10 AM to 10 PM","sábado","10 AM to 10 PM","false",,,,,,,,,,"ChIJxVQz1g8nl5URcpMgyGGbGyM",,,"12",,"4",,,,,,"2025-06-15T22:40:24.617Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","7203","false","despesa y anexo las acacias y Üma ropa informal","5",,"https://www.google.com/maps/search/?api=1&query=despesa%20y%20anexo%20las%20acacias%20y%20%C3%9Cma%20ropa%20informal&query_place_id=ChIJxVQz1g8nl5URcpMgyGGbGyM","https://m.facebook.com/despensalasacacias/",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garralda 260, B7203ASF Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","17049207121487904373","Rauch","true","AR",,,,,,"0x95972767c3471995:0xec9af38be258be75",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rFxVQT15Tn_4hF5XqLcwCg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=117.05493&pitch=0&thumbfov=100","1",,,"false","/g/11bbrggdj1","es-419",,"-36.7767339","-59.093429",,,,,,,,,,,,,,,,"false","+54 2297 44-2345","+542297442345",,,,,,,,"ChIJlRlHw2cnl5URdb5Y4ovzmuw","B7203",,"11",,"1",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Garralda 260","false","Palmieri Julio E Hijos","4",,"https://www.google.com/maps/search/?api=1&query=Palmieri%20Julio%20E%20Hijos&query_place_id=ChIJlRlHw2cnl5URdb5Y4ovzmuw",,
,,,,,,,,,,,,,,,,,,,,,,,"true",,"true",,,,,,,,,,,,,,,,,"Letamendi 417, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","8971707903993094222","Rauch","true","AR",,,,,,"0x959727691db7f0df:0x7c81e8cdf612a04e",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oSoY_oNEEMUT9JCnEA6BOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.58057&pitch=0&thumbfov=100","1",,,"false","/g/11j00t1410","es-419",,"-36.7773161","-59.0898046",,,,,,,,,,,,,,,,"false",,,,,,,,,,"ChIJ3_C3HWknl5URTqAS9s3ogXw",,,"10",,"0",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Letamendi 417","false","Visual Center",,,"https://www.google.com/maps/search/?api=1&query=Visual%20Center&query_place_id=ChIJ3_C3HWknl5URTqAS9s3ogXw",,
,,,,,,,,,,,,,,,,,,,,,"true",,,,"true",,,"true","true",,"true",,,,,,,,,,,"Av. San Martín 338, B7203 BPQ, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","1956182199483717609","BPQ","true","AR",,,,,,"0x9597276861ee151d:0x1b25c1589c2b57e9",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WcRcCTy6FmZka8ACpJCMOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=116.25002&pitch=0&thumbfov=100","1",,,"false","/g/11bbrgfsqj","es-419",,"-36.7771237","-59.0914758",,"domingo","Cerrado","lunes","8 AM to 8 PM","martes","8 AM to 8 PM","miércoles","8 AM to 8 PM","jueves","8 AM to 7 PM","viernes","8 AM to 8 PM","sábado","Cerrado","false","+54 2297 44-0415","+542297440415",,,,,,,,"ChIJHRXuYWgnl5UR6VcrnFjBJRs","B7203",,"9",,"12",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. San Martín 338","false","Celiberti Enrique Luis","4.8",,"https://www.google.com/maps/search/?api=1&query=Celiberti%20Enrique%20Luis&query_place_id=ChIJHRXuYWgnl5UR6VcrnFjBJRs",,
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Av. San Martín 326, B7203 BPQ, Provincia de Buenos Aires, Argentina","Tienda de artículos para el hogar",,,,"Tienda de artículos para el hogar","11625037200164116363","BPQ","true","AR",,,,,,"0x9597276889f6df0d:0xa1546dbdd07bd78b",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UgRNMkENbZ_zaDHZeOZDPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.65396&pitch=0&thumbfov=100","1",,,"false","/g/11g9dnyx2_","es-419",,"-36.7772125","-59.0915838",,"domingo","Abierto las 24 horas","lunes","Abierto las 24 horas","martes","Abierto las 24 horas","miércoles","Abierto las 24 horas","jueves","Abierto las 24 horas","viernes","Abierto las 24 horas","sábado","Abierto las 24 horas","false",,,,,,,,,,"ChIJDd_2iWgnl5URi9d70L1tVKE","B7203",,"8",,"3",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. San Martín 326","false","Kiosco Lo Del Negro","4.7",,"https://www.google.com/maps/search/?api=1&query=Kiosco%20Lo%20Del%20Negro&query_place_id=ChIJDd_2iWgnl5URi9d70L1tVKE",,
,,,,,,"true",,,,,,"true",,,,,,,,,"true",,,,,"true","true",,,,"true",,,,,,,,,,,"Cnel. Suárez 155, B7203AQC Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","7633202890352358198","Rauch","true","AR",,,,,,"0x959727865d09f7c7:0x69ee959619eff336",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4no3tXntdMQiKuoEPOgf6ly9BU7MUt85St68uzCwZJ2R7hAJUcaak_5m-gVMJfe_WYJDV13nHnWufC8xYdLke9Pz2QxfxFTUqQsccaXG0ayIrcFMXK6vKD-yW_6e56CZ9wyjYFc=w408-h306-k-no","2",,,"false","/g/11kc2vc95r","es-419",,"-36.7772504","-59.0882878",,"domingo","10 AM to 1 PM, 5 to 8 PM","lunes","8:30 AM to 12:30 PM, 4 to 8:30 PM","martes","8:30 AM to 12:30 PM, 4 to 8:30 PM","miércoles","8:30 AM to 12:30 PM, 4 to 8:30 PM","jueves","8:30 AM to 12:30 PM, 4 to 8:30 PM","viernes","8:30 AM to 12:30 PM, 4 to 8:30 PM","sábado","9 AM to 1 PM, 4 to 8:30 PM","false",,,,,,,,,,"ChIJx_cJXYYnl5URNvPvGZaV7mk","B7203",,"6",,"0",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Cnel. Suárez 155","false","MEGACOMPRAS Rauch",,,"https://www.google.com/maps/search/?api=1&query=MEGACOMPRAS%20Rauch&query_place_id=ChIJx_cJXYYnl5URNvPvGZaV7mk",,
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACA, Alberti 13, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","1828202011525288144","Rauch","true","AR",,,,,,"0x959727685930f9f7:0x195f140b129e90d0",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3IWeGuIyp_P7MQa7yWaxOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.285376&pitch=0&thumbfov=100","1",,,"false","/g/11bbrjr53g","es-419",,"-36.7767082","-59.0908077",,,,,,,,,,,,,,,,"false","+54 2297 44-2173","+542297442173",,,,,,,,"ChIJ9_kwWWgnl5UR0JCeEgsUXxk","B7203",,"7",,"0",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","ACA, Alberti 13","false","Provenzano Luis",,,"https://www.google.com/maps/search/?api=1&query=Provenzano%20Luis&query_place_id=ChIJ9_kwWWgnl5UR0JCeEgsUXxk",,
,,,,,,"true",,,,,,"true",,,,,,,,,,,"true",,"true",,,,,,,,,,,,,,,,,"B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","15060701317175056962","Rauch","true","AR",,,,,,"0x95972769136ee4dd:0xd1025c0d8e7a1a42",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h49PUrmrDeSsD9ycaKYi_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=71.76222&pitch=0&thumbfov=100","1",,,"false","/g/1q62l0p8g","es-419",,"-36.7770906","-59.0885116",,,,,,,,,,,,,,,,"false","+54 2297 44-2351","+542297442351",,,,,,,,"ChIJ3eRuE2knl5URQhp6jg1cAtE",,,"5",,"2",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires",,"false","El Viejo Almacén","4.5",,"https://www.google.com/maps/search/?api=1&query=El%20Viejo%20Almac%C3%A9n&query_place_id=ChIJ3eRuE2knl5URQhp6jg1cAtE",,
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Av. Matheu 440, B7203BBR Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","6505437152483407137","Rauch","true","AR",,,,,,"0x959727beb9a9be49:0x5a47f49f7666f521",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7dQWtNJWSskodQjh4t8Wog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.91989&pitch=0&thumbfov=100","1",,,"false","/g/11rhdfcr80","es-419",,"-36.7830048","-59.0887596",,,,,,,,,,,,,,,,"false",,,,,,,,,,"ChIJSb6pub4nl5URIfVmdp_0R1o","B7203",,"3",,"10",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","Av. Matheu 440","false","Forrajería Cholín","5",,"https://www.google.com/maps/search/?api=1&query=Forrajer%C3%ADa%20Chol%C3%ADn&query_place_id=ChIJSb6pub4nl5URIfVmdp_0R1o",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABB, 9 de Julio 62, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","12923479325585169932","Rauch","true","AR",,,,,,"0x9597276877de806b:0xb3596bf99f9bde0c",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gf08FzRRG00Ziir6a1s30w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.19287&pitch=0&thumbfov=100","1",,,"false","/g/11bbrhdspq","es-419",,"-36.7767021","-59.0926493",,,,,,,,,,,,,,,,"false","+54 2297 44-0451","+542297440451",,,,,,,,"ChIJa4Ded2gnl5URDN6bn_lrWbM","B7203",,"4",,"1",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Provincia de Buenos Aires","ABB, 9 de Julio 62","false","Miguel A Siervo","5",,"https://www.google.com/maps/search/?api=1&query=Miguel%20A%20Siervo&query_place_id=ChIJa4Ded2gnl5URDN6bn_lrWbM",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av H Yrigoyen 446, Rauch, Buenos Aires, Rauch, Buenos Aires Sur, Argentina","Comercio",,,,"Comercio","6787296928784260327","Rauch","true","AR",,,,,,"0x95972763bf979f47:0x5e31529899491ce7",,,,,,"false","/g/1hc4zx25j","es-419",,"-36.7832489","-59.0999985",,,,,,,,,,,,,,,,"false","+54 2297 44-0379","+542297440379",,,,,,,,"ChIJR5-Xv2Mnl5UR5xxJmZhSMV4",,,"2",,"1",,,,,,"2025-06-15T22:40:24.616Z","https://www.google.com/maps/search/comercio/@-36.80229206090462,-59.1210622811497,15z?hl=es-419","comercio","Buenos Aires Sur","Av H Yrigoyen 446, Rauch, Buenos Aires","false","Ibargoyen Mario Riune Martin Sebastian","5",,"https://www.google.com/maps/search/?api=1&query=Ibargoyen%20Mario%20Riune%20Martin%20Sebastian&query_place_id=ChIJR5-Xv2Mnl5UR5xxJmZhSMV4",,
