"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Espacio accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Estacionamiento/0/Estacionamiento en el lugar","additionalInfo/Estacionamiento/1/Estacionamiento gratuito","additionalInfo/Estacionamiento/2/Estacionamiento gratuito en la calle","additionalInfo/Estacionamiento/3/Garage de stacionamiento gratuito","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Opciones de servicio/0/Citas en línea","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Retiros en la puerta","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/2/Servicios en el lugar","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Servicios en el lugar","additionalInfo/Opciones de servicio/5/Entrega el mismo día","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Pagos/4/Tarjetas de crédito","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/1/Espacio seguro para personas transgénero","additionalInfo/Qué ofrece/0/Cambio de aceite","additionalInfo/Qué ofrece/0/Servicio de armado","additionalInfo/Qué ofrece/0/Servicios de reparación","additionalInfo/Reciclaje/0/Baterías","additionalInfo/Servicios/0/Sanitarios unisex","additionalInfo/Servicios/0/Wi-Fi","additionalInfo/Servicios/1/Tiene Wi-Fi gratis","additionalInfo/Servicios/1/Wi-Fi","additionalInfo/Servicios/2/Tiene Wi-Fi gratis","additionalOpeningHours/Horario de atención en línea/0/day","additionalOpeningHours/Horario de atención en línea/0/hours","additionalOpeningHours/Horario de atención en línea/1/day","additionalOpeningHours/Horario de atención en línea/1/hours","additionalOpeningHours/Horario de atención en línea/2/day","additionalOpeningHours/Horario de atención en línea/2/hours","additionalOpeningHours/Horario de atención en línea/3/day","additionalOpeningHours/Horario de atención en línea/3/hours","additionalOpeningHours/Horario de atención en línea/4/day","additionalOpeningHours/Horario de atención en línea/4/hours","additionalOpeningHours/Horario de atención en línea/5/day","additionalOpeningHours/Horario de atención en línea/5/hours","additionalOpeningHours/Horario de atención en línea/6/day","additionalOpeningHours/Horario de atención en línea/6/hours","additionalOpeningHours/Retiro/0/day","additionalOpeningHours/Retiro/0/hours","additionalOpeningHours/Retiro/1/day","additionalOpeningHours/Retiro/1/hours","additionalOpeningHours/Retiro/2/day","additionalOpeningHours/Retiro/2/hours","additionalOpeningHours/Retiro/3/day","additionalOpeningHours/Retiro/3/hours","additionalOpeningHours/Retiro/4/day","additionalOpeningHours/Retiro/4/hours","additionalOpeningHours/Retiro/5/day","additionalOpeningHours/Retiro/5/hours","additionalOpeningHours/Retiro/6/day","additionalOpeningHours/Retiro/6/hours","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url","website"
,"true",,"false",,,,,,,"true",,,,,"true",,,,,"true",,"true",,"true","true","true",,,"true",,,"true",,,"true","true","true","true","true",,"true",,,,"true","true",,,"miércoles","9 a.m.–8 p.m.","jueves","9 a.m.–8 p.m.","viernes","9 a.m.–8 p.m.","sábado","9 a.m.–8 p.m.","domingo","Cerrado","lunes","9 a.m.–8 p.m.","martes","9 a.m.–8 p.m.","miércoles","9 a.m.–2 p.m.","jueves","9 a.m.–2 p.m.","viernes","9 a.m.–2 p.m.","sábado","9 a.m.–1 p.m.","domingo","Cerrado","lunes","9 a.m.–2 p.m.","martes","9 a.m.–2 p.m.","Av. España 882, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de informática","Tienda de electrodomésticos","Tienda de accesorios informáticos","Servicio de reparación de ordenadores","Establecimiento de reparación de artículos electrónicos","Tienda de material de oficina","Tienda de material escolar",,"Tienda de informática","11928665910014769526","Tandil","false","AR","0x95911f8e3afb3fe7:0xa58b2271c2bdf976",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nov94myuMDbV-h5vsF1eNQu9_RZWAHmP1Ecw1TE4ZnmC-JWEbGV0B5BlgcutCOtcE0Honm6LWJCk16HEUtWCKoYELq8IHTbipIseMIJQj9tQqhnh9b6GTlu2_HP-b2jkaN2TZhEkg=w408-h306-k-no","23","false","/g/1q63clb1_","es-419","-37.3210096","-59.134876",,"miércoles","8:30 AM to 1:30 PM, 4:30 to 8:30 PM","jueves","8:30 AM to 1:30 PM, 4:30 to 8:30 PM","viernes","8:30 AM to 1:30 PM, 4:30 to 8:30 PM","sábado","9 AM to 1 PM","domingo","Cerrado","lunes","8:30 AM to 1:30 PM, 4:30 to 8:30 PM","martes","8:30 AM to 1:30 PM, 4:30 to 8:30 PM","false","+54 249 443-8654","+542494438654","ChIJ5z_7Oo4fkZURdvm9wnEii6U","B7000",,"11","509","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Av. España 882","false","LANG Tecnología","4.5","https://www.google.com/maps/search/?api=1&query=LANG%20Tecnolog%C3%ADa&query_place_id=ChIJ5z_7Oo4fkZURdvm9wnEii6U","http://www.langtecnologia.com.ar/"
,,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,"true",,,"true",,,"true","true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Martín 1750, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de repuestos para automóviles",,,,,,,,"Tienda de repuestos para automóviles","14756395278055769333","Tandil","false","AR","0x95911f853d47c539:0xccc93f5299c404f5",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D6mTpU0wWrsoVtDNRXFGEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.73148&pitch=0&thumbfov=100","1","false","/g/1tld1b_8","es-419","-37.3197821","-59.1197582",,"miércoles","8:30 AM to 12 PM, 3 to 7 PM","jueves","8:30 AM to 12 PM, 3 to 7 PM","viernes","8:30 AM to 12 PM, 3 to 7 PM","sábado","Cerrado","domingo","Cerrado","lunes","8:30 AM to 12 PM, 3 to 7 PM","martes","8:30 AM to 12 PM, 3 to 7 PM","false","+54 249 424-4425","+542494244425","ChIJOcVHPYUfkZUR9QTEmVI_ycw","B7000",,"12","27","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","San Martín 1750","false","Severini Ruben O - Repuestos Electricos del Automotor","4.6","https://www.google.com/maps/search/?api=1&query=Severini%20Ruben%20O%20-%20Repuestos%20Electricos%20del%20Automotor&query_place_id=ChIJOcVHPYUfkZUR9QTEmVI_ycw",
,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Primera Junta, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de ropa",,,,,,,,"Tienda de ropa","3287477433790989065","Tandil","true","AR","0x9591201f43d59f87:0x2d9f774ee8398309",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YOElxuVEPD165hTuyz-lMQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=75.28439&pitch=0&thumbfov=100","1","false","/g/11w33wlslk","es-419","-37.305924","-59.1260349",,,,,,,,,,,,,,,,"false",,,"ChIJh5_VQx8gkZURCYM56E53ny0",,,"13","0","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Primera Junta","false","Varieté Indumentaria Electrónica Y Más",,"https://www.google.com/maps/search/?api=1&query=Variet%C3%A9%20Indumentaria%20Electr%C3%B3nica%20Y%20M%C3%A1s&query_place_id=ChIJh5_VQx8gkZURCYM56E53ny0",
,,"false",,,,,,,,,"true",,,,,"true",,,,,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gral. Rodríguez 635, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda general",,,,,,,,"Tienda general","393787873967492398","Tandil","false","AR","0x95911f18fb2d9013:0x57703fc28b04d2e",,"https://lh3.googleusercontent.com/p/AF1QipNJ6au7lHQzWYUHKxshZU-8ywrN5IBNhbaIBnUj=w408-h306-k-no","4","false","/g/11p4zr81cc","es-419","-37.3258542","-59.1368803",,"miércoles","9 AM to 8:30 PM","jueves","9 AM to 8:30 PM","viernes","9 AM to 8:30 PM","sábado","9 AM to 8:30 PM","domingo","Cerrado","lunes","9 AM to 8:30 PM","martes","9 AM to 8:30 PM","false",,,"ChIJE5At-xgfkZURLk2wKPwDdwU","B7000",,"14","31","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Gral. Rodríguez 635","false","Casa Moda","4.2","https://www.google.com/maps/search/?api=1&query=Casa%20Moda&query_place_id=ChIJE5At-xgfkZURLk2wKPwDdwU",
,,,,,,,,,,,"true",,,,,,"true",,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L.N. Alem 1272, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de iluminación",,,,,,,,"Tienda de iluminación","1098729119865280593","Tandil","false","AR","0x95911fcca0d4136f:0xf3f78502df29851",,"https://lh3.googleusercontent.com/p/AF1QipM8r1A7pCFK6bYXoBvc1wparUs1c6EX8QoYs0X9=w408-h306-k-no","5","false","/g/11v0p1cn6q","es-419","-37.3173543","-59.1387712",,"miércoles","9 AM to 1 PM, 3:30 to 7:30 PM","jueves","9 AM to 1 PM, 3:30 to 7:30 PM","viernes","9 AM to 1 PM, 3:30 to 7:30 PM","sábado","9 AM to 1 PM, 3 to 7:30 PM","domingo","Cerrado","lunes","9 AM to 1 PM, 3 to 7:30 PM","martes","9 AM to 1 PM, 3 to 7:30 PM","false","+54 249 455-0832","+542494550832","ChIJbxPUoMwfkZURUZjyLVB4Pw8","B7000",,"15","3","2025-05-28T23:31:10.789Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","L.N. Alem 1272","false","ElectroAre","3.7","https://www.google.com/maps/search/?api=1&query=ElectroAre&query_place_id=ChIJbxPUoMwfkZURUZjyLVB4Pw8","https://instagram.com/electro.are?igshid=MzRlODBiNWFlZA=="
,,,,,,,,,,,"true",,,,,,"true",,"true",,,,,,,,"true",,,"true",,,"true","true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avenida España, Gral. Paz 901, B7000 Tandil, Argentina","Tienda de repuestos para automóviles",,,,,,,,"Tienda de repuestos para automóviles","13952886656139346543","Tandil","false","AR","0x95911f8e3e65c571:0xc1a29c7cfa79426f",,"https://lh3.googleusercontent.com/p/AF1QipPz1FYLrtxSU9_oEGSQHv8BjolaxYEce2in3BPu=w408-h306-k-no","29","false","/g/11c3kdhpq0","es-419","-37.3209793","-59.1344283",,"miércoles","9 AM to 5:30 PM","jueves","9 AM to 5:30 PM","viernes","9 AM to 5:30 PM","sábado","9 AM to 12 PM","domingo","Cerrado","lunes","9 AM to 5:30 PM","martes","9 AM to 5:30 PM","false","+54 249 430-6587","+542494306587","ChIJccVlPo4fkZURb0J5-nycosE","B7000",,"16","70","2025-05-28T23:31:10.789Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Avenida España, Gral. Paz 901","false","La Esquina del Motor","4.6","https://www.google.com/maps/search/?api=1&query=La%20Esquina%20del%20Motor&query_place_id=ChIJccVlPo4fkZURb0J5-nycosE","https://www.facebook.com/La-Esquina-del-Motor-105462417957798"
,,,,,,,,,,,"true",,,,,,"true","true",,,,,"true",,,,,"true",,,"true","true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leandro Alem 695, B7000 Tandil, Provincia de Buenos Aires, Argentina","Colchonería","Tienda especializada en camas","Tienda de ropa de cama","Tienda de colchas",,,,,"Colchonería","17287828674652616773","Tandil","false","AR","0x95911f91a02d4273:0xefeab495b27b3845",,"https://lh3.googleusercontent.com/p/AF1QipM5trHaamqpAHScg_U3pSdIvmepcvKcEhfoGEo4=w408-h305-k-no","213","false","/g/11c57mgfnn","es-419","-37.3241011","-59.1343564",,"miércoles","9 AM to 1 PM, 4 to 8 PM","jueves","9 AM to 1 PM, 4 to 8 PM","viernes","9 AM to 1 PM, 4 to 8 PM","sábado","9 AM to 1 PM, 5 to 8 PM","domingo","Cerrado","lunes","9 AM to 1 PM, 4 to 8 PM","martes","9 AM to 1 PM, 4 to 8 PM","false","+54 249 442-1929","+542494421929","ChIJc0ItoJEfkZURRTh7spW06u8","B7000",,"7","15","2025-05-28T23:31:11.444Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.28758691039411,-59.16964479141904,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Leandro Alem 695","false","Blanqueria Bianqueria Colchones y Sommiers","4.9","https://www.google.com/maps/search/?api=1&query=Blanqueria%20Bianqueria%20Colchones%20y%20Sommiers&query_place_id=ChIJc0ItoJEfkZURRTh7spW06u8","https://www.bianqueria.com.ar/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ituzaingo 1201 esquina, Antonena, Tandil, Provincia de Buenos Aires, Argentina","Tienda de accesorios para móviles",,,,,,,,"Tienda de accesorios para móviles","12925899686004329604","Tandil","false","AR","0x95911f86e32b6f1b:0xb3620547b29f0c84",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npy0s6FXmPt0QrUdSM8fqUGL9_QVxJs37bZRh5MEh1pe2OPBC_JNtSSVNjeZna-_q5TdMXBkjmf9Yy8GgJ52esqRxxrRRwtEwlNS6Ky435CXFiYLbXywwo1hxYhvSujMCe503Q-=w408-h306-k-no","22","false","/g/11g5zywr3w","es-419","-37.3235396","-59.1523057",,"miércoles","9 AM to 1 PM, 4:30 to 8:30 PM","jueves","9 AM to 1 PM, 4:30 to 8:30 PM","viernes","9 AM to 1 PM, 4:30 to 8:30 PM","sábado","9 AM to 1 PM","domingo","Cerrado","lunes","9 AM to 1 PM, 4:30 to 8:30 PM","martes","9 AM to 1 PM, 4:30 to 8:30 PM","false","+54 249 458-3854","+542494583854","ChIJG28r44YfkZURhAyfskcFYrM",,,"12","24","2025-05-28T23:31:11.445Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.28758691039411,-59.16964479141904,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Ituzaingo 1201 esquina, Antonena","false","Wonder Tech","4.3","https://www.google.com/maps/search/?api=1&query=Wonder%20Tech&query_place_id=ChIJG28r44YfkZURhAyfskcFYrM","https://www.instagram.com/wondertech_tandil?igsh=MXV4b2E4NjkzNGhvZA=="
,,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gral. Rodríguez 677, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de electrónica",,,,,,,,"Tienda de electrónica","9490775105337595934","Tandil","true","AR","0x95911f908cc86de7:0x83b601ac8cc4981e",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fw-FZNBCUc9Em2V4xpE8hQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.263706&pitch=0&thumbfov=100","1","false","/g/11h7s3zd85","es-419","-37.3254221","-59.1371266",,,,,,,,,,,,,,,,"false",,,"ChIJ523IjJAfkZURHpjEjKwBtoM",,,"19","2","2025-05-28T23:31:11.446Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.28758691039411,-59.16964479141904,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Gral. Rodríguez 677","false","Lucaioli","5","https://www.google.com/maps/search/?api=1&query=Lucaioli&query_place_id=ChIJ523IjJAfkZURHpjEjKwBtoM",
,,,,,,,,,,,"true",,,,,,"true","true",,,,,"true",,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alberdi 1650, B7000 Tandil, Provincia de Buenos Aires, Argentina","Comercio",,,,,,,,"Comercio","9241675028279691255","Tandil","false","AR","0x9591215bb7e3b999:0x80410679463587f7",,"https://lh3.googleusercontent.com/p/AF1QipOFgisbxFyzlqrg4hAkZxtbiET8foq5tsR3RJRB=w408-h439-k-no","19","false","/g/11py_86f_t","es-419","-37.3166968","-59.1512159",,"miércoles","9 AM to 2 PM","jueves","9 AM to 2 PM","viernes","9 AM to 2 PM","sábado","Cerrado","domingo","Cerrado","lunes","9 AM to 2 PM","martes","9 AM to 2 PM","false","+54 9 249 467-1693","+5492494671693","ChIJmbnjt1shkZUR94c1RnkGQYA","B7000",,"16","5","2025-05-28T23:31:13.461Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.34229836320196,-59.20407888283807,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Alberdi 1650","false","Tyc Ablandadores de agua","5","https://www.google.com/maps/search/?api=1&query=Tyc%20Ablandadores%20de%20agua&query_place_id=ChIJmbnjt1shkZUR94c1RnkGQYA",
,,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Colón 1317, C7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de electricidad","Electricista","Tienda de herramientas",,,,,,"Tienda de electricidad","11882036481479696163","Tandil","false","AR","0x95911f5e91b3d555:0xa4e57939e6d45f23",,"https://lh3.googleusercontent.com/p/AF1QipOGDU6Ov0ZMZluxHAz5MflNKEPfH6QGWl3PoUSN=w408-h386-k-no","13","false","/g/11w_d2dvqm","es-419","-37.3154533","-59.1356678",,,,,,,,,,,,,,,,"false","+54 249 454-5132","+542494545132","ChIJVdWzkV4fkZURI1_U5jl55aQ","C7000",,"17","1","2025-05-28T23:31:13.461Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.34229836320196,-59.20407888283807,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Av. Colón 1317","false","LA CASA DEL FOCO TANDIL","5","https://www.google.com/maps/search/?api=1&query=LA%20CASA%20DEL%20FOCO%20TANDIL&query_place_id=ChIJVdWzkV4fkZURI1_U5jl55aQ",
,,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montevideo 556, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de electrónica",,,,,,,,"Tienda de electrónica","11868236774382403479","Tandil","true","AR","0x95911f85d4a979bb:0xa4b47277374a7f97",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JHFa00F9rRaMkghCLM9VSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=315.6443&pitch=0&thumbfov=100","1","false","/g/11j00r_kwc","es-419","-37.3192973","-59.141481",,,,,,,,,,,,,,,,"false",,,"ChIJu3mp1IUfkZURl39KN3dytKQ",,,"20","0","2025-05-28T23:31:13.461Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.34229836320196,-59.20407888283807,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Montevideo 556","false","Audio",,"https://www.google.com/maps/search/?api=1&query=Audio&query_place_id=ChIJu3mp1IUfkZURl39KN3dytKQ",
